Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Wireless Telecommunication Services,AD,"Array Digital Infrastructure, Inc.","4,348 M",50.34,($0.30),$29.29,$2.13,5.3361,1.426,1.9441,
Entertainment,AMC,"AMC Entertainment Holdings, Inc.",627 M,1.22,($0.67),($3.47),($1.45),36.999,.4703,-4.5124,
Media,AMCX,AMC Networks Inc.,368 M,8.62,$6.13,$22.99,$1.66,10.417,3.8805,4.0096,
Wireless Telecommunication Services,AMX,"AmÃ©rica MÃ³vil, S.A.B. de C.V.","71,712 M",23.81,$0.13,$0.39,$0.08,20.496,6.6579,4.2079,
Interactive Media & Services,ANGI,Angi Inc.,324 M,8.08,$1.00,$23.13,$0.94,4.4048,2.7838,1.812,
Entertainment,ANGX,"Angel Studios, Inc.",580 M,3.44,($2.40),$0.19,($3.55),-440.92,-52.192,6.2494,
Diversified Telecommunication Services,ASTS,"AST SpaceMobile, Inc.","24,569 M",86.40,($4.02),$4.56,($1.29),-39.031,-10.161,2.0564,
Interactive Media & Services,ATDRY,Autotrader Group plc,"5,312 M",1.59,$0.46,$0.87,$0.45,51.584,35.672,1.2372,
Diversified Telecommunication Services,ATEX,Anterix Inc.,645 M,34.44,($2.78),$12.68,$4.35,42.723,-7.0137,1.7673,
Interactive Media & Services,ATHM,Autohome Inc.,"2,486 M",20.99,$1.39,$28.85,$1.73,5.7602,1.9367,1.1956,
Diversified Telecommunication Services,ATNI,"ATN International, Inc.",434 M,28.44,$2.80,$30.21,($0.92),-1.8992,1.4428,3.7556,
Diversified Telecommunication Services,BAND,Bandwidth Inc.,444 M,14.54,$1.91,$12.87,($0.40),-3.2005,-.7981,2.6311,
Entertainment,BATRA,"Atlanta Braves Holdings, Inc.","2,969 M",47.19,($0.45),$8.91,($0.02),-.165,.7583,2.9832,
Entertainment,BATRK,"Atlanta Braves Holdings, Inc.","2,699 M",42.89,($0.45),$8.91,($0.02),-.165,.7583,2.9832,
