Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Specialty Retail,AAP,"Advance Auto Parts, Inc.","3,364 M",55.98,($4.97),$36.63,$1.13,3.1135,1.1105,5.3804,
Specialty Retail,ABG,"Asbury Automotive Group, Inc.","4,339 M",223.21,$36.11,$199.48,$25.13,13.333,5.8521,3.036,
"Hotels, Restaurants & Leisure",ABNB,"Airbnb, Inc.","75,425 M",125.81,$7.41,$14.16,$4.19,30.233,7.3667,2.7086,
"Hotels, Restaurants & Leisure",ACEL,"Accel Entertainment, Inc.",940 M,11.30,$0.45,$3.19,$0.50,18.233,6.4765,4.0633,
Automobile Components,ADNT,Adient plc,"1,960 M",25.02,$2.13,$22.15,($3.72),-10.046,3.1562,5.0571,
Diversified Consumer Services,ADT,ADT Inc.,"6,468 M",7.89,$0.93,$4.50,$0.73,17.245,5.0509,4.3679,
Specialty Retail,AEO,"American Eagle Outfitters, Inc.","4,229 M",24.95,$0.88,$9.59,$1.16,12.362,4.6518,2.5778,
Diversified Consumer Services,AFYA,Afya Limited,"1,268 M",13.98,$2.54,$9.83,$1.50,16.721,8.3448,1.9357,
Automobile Components,ALV,"Autoliv, Inc.","9,199 M",123.15,$9.35,$34.43,$9.55,30.238,8.4432,3.3608,
Broadline Retail,AMZN,"Amazon.com, Inc.","2,199,156 M",204.86,$0.72,$38.31,$7.17,22.286,6.9281,1.9901,
Specialty Retail,AN,"AutoNation, Inc.","6,981 M",201.11,($5.25),$66.51,$17.04,27.055,6.1081,6.1476,
Specialty Retail,ANF,Abercrombie & Fitch Co.,"4,398 M",95.90,$7.93,$28.72,$10.47,40.891,12.772,2.6426,
Diversified Consumer Services,APEI,"American Public Education, Inc.",785 M,43.40,$3.11,$15.45,$1.30,11.202,6.6339,1.8805,
Automobile Components,APTV,Aptiv PLC,"17,118 M",80.46,$6.95,$43.28,$0.75,1.9479,5.9071,2.543,
