Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Beverages,ABEV,Ambev S.A.,"48,099 M",3.08,$0.23,$1.03,$0.18,16.977,9.1359,1.6503,
Consumer Staples Distribution & Retail,ACI,"Albertsons Companies, Inc.","9,214 M",17.93,$0.91,$4.87,$1.54,29.655,4.2525,10.83,
Food Products,ADM,Archer-Daniels-Midland Company,"33,092 M",68.86,$8.69,$46.97,$2.23,4.7208,2.0243,1.5246,
Food Products,AFRI,Forafric Global PLC,266 M,9.89,($0.12),($0.17),($0.80),-156.36,-.4154,-58.212,
Food Products,AGRO,Adecoagro S.A.,"1,259 M",8.90,$0.53,$13.71,$0.23,1.6896,1.5667,2.6568,
Food Products,ALCO,"Alico, Inc.",309 M,40.36,$2.52,$13.01,($18.53),-80.757,-6.6495,1.9571,
Food Products,ALF,Centurion Acquisition Corp.,386 M,10.74,($0.02),($0.37),$0.36,<empty>,<empty>,-22.709,
Consumer Staples Distribution & Retail,ANDE,"The Andersons, Inc.","2,195 M",64.86,($1.65),$37.88,$2.79,8.2559,1.7597,2.8776,
Food Products,AVO,"Mission Produce, Inc.","1,048 M",14.80,$0.53,$8.32,$0.53,6.7669,4.1826,1.6738,
Food Products,BG,Bunge Global SA,"23,878 M",123.49,($5.30),$89.07,$4.93,5.9638,2.7348,2.5637,
Food Products,BGS,"B&G Foods, Inc.",412 M,5.15,$0.69,$5.89,($3.15),-40.862,3.8151,6.2509,
Consumer Staples Distribution & Retail,BJ,"BJ's Wholesale Club Holdings, Inc.","12,979 M",99.19,$1.90,$16.60,$4.34,29.241,6.9616,3.4743,
Personal Care Products,BRBR,"BellRing Brands, Inc.","2,226 M",18.98,$1.98,($4.35),$1.45,-55.682,20.599,-2.0762,
Tobacco,BTI,British American Tobacco p.l.c.,"132,325 M",60.99,$3.49,$28.55,$4.71,15.824,5.3442,2.2804,
Beverages,BUD,Anheuser-Busch InBev SA/NV,"153,037 M",78.77,$5.66,$44.75,$3.39,9.0937,4.6084,2.5068,
Food Products,CAG,"Conagra Brands, Inc.","8,941 M",18.69,$1.83,$16.91,($0.21),-1.1603,4.4041,2.4151,
Food Products,CALM,"Cal-Maine Foods, Inc.","3,983 M",83.58,$24.17,$56.48,$23.74,48.526,32.306,1.1682,
Consumer Staples Distribution & Retail,CART,Maplebear Inc.,"9,337 M",35.565,$3.48,$9.85,$1.60,14.917,7.9787,1.4643,
Consumer Staples Distribution & Retail,CASY,"Casey's General Stores, Inc.","24,579 M",663.11,$18.37,$102.61,$16.25,16.989,6.9034,2.2536,
Beverages,CCEP,Coca-Cola Europacific Partners PLC,"46,964 M",104.70,$5.17,$20.33,$5.00,22.894,5.7259,3.8126,
Beverages,CCU,CompaÃ±Ã­a CervecerÃ­as Unidas S.A.,"2,598 M",14.06,$0.32,$4.17,$0.38,9.7389,4.2046,2.4298,
Beverages,CELH,"Celsius Holdings, Inc.","11,376 M",44.13,$2.00,$4.67,$0.13,3.0575,7.5216,4.3768,
Household Products,CENT,Central Garden & Pet Company,"2,433 M",39.08,$4.57,$25.30,$2.47,10.12,4.5678,2.3127,
Household Products,CENTA,Central Garden & Pet Company,"2,155 M",34.61,$4.57,$25.30,$2.47,10.12,4.5678,2.3127,
Household Products,CHD,"Church & Dwight Co., Inc.","24,439 M",103.25,$4.50,$16.92,$3.02,17.62,8.2022,2.2269,
Consumer Staples Distribution & Retail,CHEF,"The Chefs' Warehouse, Inc.","2,826 M",69.46,$2.27,$15.61,$1.68,12.673,4.9247,3.3559,
Household Products,CL,Colgate-Palmolive Company,"75,754 M",93.98,$4.49,$0.07,$2.63,497.47,16.567,302.41,
Household Products,CLX,The Clorox Company,"14,778 M",122.22,$6.34,($1.03),$6.13,987.18,11.305,-44.904,
Beverages,COCO,"The Vita Coco Company, Inc.","2,948 M",51.76,$0.93,$5.68,$1.15,24.021,11.76,1.4249,
Beverages,COKE,"Coca-Cola Consolidated, Inc.","11,777 M",176.79,$6.87,$19.04,$7.03,41.924,10.565,3.465,
Consumer Staples Distribution & Retail,COST,Costco Wholesale Corporation,"438,463 M",987.82,$20.28,$68.26,$18.67,30.325,8.524,2.7321,
Personal Care Products,COTY,Coty Inc.,"2,314 M",2.63,$0.43,$4.02,($0.62),-12.592,2.0272,3.1408,
Food Products,CPB,The Campbell's Company,"8,038 M",26.96,$2.31,$13.28,$1.94,14.815,5.6845,3.836,
Food Products,CRESY,"Cresud Sociedad AnÃ³nima, Comercial, Inmobiliaria, Financiera y Agropecuaria",752 M,11.69,$0.18,$1.22,$0.19,20.959,2.2394,5.7258,
Food Products,CVGW,"Calavo Growers, Inc.",474 M,26.51,$1.09,$11.59,$1.11,9.7335,4.1312,1.4122,
Food Products,DAR,Darling Ingredients Inc.,"8,186 M",51.75,$3.00,$29.64,$0.39,1.5245,2.1809,2.2292,
Consumer Staples Distribution & Retail,DDL,Dingdong (Cayman) Limited,613 M,2.83,$0.28,$0.66,$0.18,30.351,1.7098,6.778,
Beverages,DEO,Diageo plc,"53,629 M",96.48,$1.21,$4.99,$1.06,20.105,7.5504,4.4474,
Consumer Staples Distribution & Retail,DG,Dollar General Corporation,"33,412 M",151.79,$10.63,$37.19,$5.79,16.45,4.191,3.8747,
Consumer Staples Distribution & Retail,DLTR,"Dollar Tree, Inc.","26,561 M",133.57,$7.29,$17.26,$5.31,20.067,5.1106,3.9416,
Food Products,DOLE,Dole plc,"1,520 M",15.97,$0.25,$14.50,$1.26,9.8702,3.1026,3.227,
Personal Care Products,EL,The EstÃ©e Lauder Companies Inc.,"40,419 M",111.74,$3.15,$11.15,($0.50),-4.3414,4.4232,4.8708,
Personal Care Products,ELF,"e.l.f. Beauty, Inc.","5,381 M",91.13,$3.73,$19.67,$1.77,10.775,6.1125,2,
Household Products,ENR,"Energizer Holdings, Inc.","1,531 M",22.36,$2.07,$2.06,$3.02,151.33,7.4592,31.448,
Personal Care Products,EPC,Edgewell Personal Care Company,"1,036 M",22.17,$0.77,$31.81,$0.13,.4217,3.3532,2.5353,
Food Products,FDP,Fresh Del Monte Produce Inc.,"2,023 M",42.35,$3.68,$42.17,$1.64,4.0427,3.1679,1.5218,
Beverages,FIZZ,National Beverage Corp.,"3,423 M",36.56,$1.68,$5.94,$1.99,40.932,22.667,1.3466,
Food Products,FLO,"Flowers Foods, Inc.","2,086 M",9.88,$1.50,$6.17,$0.40,6.1781,6.0243,3.2098,
Beverages,FMX,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V.","38,745 M",112.13,$0.49,$3.86,$0.22,7.7674,4.8892,3.2947,
Food Products,FRPT,"Freshpet, Inc.","3,645 M",74.67,$0.05,$24.15,$2.38,11.223,2.6299,1.4813,
Food Products,GIS,"General Mills, Inc.","23,904 M",44.80,$3.27,$17.46,$4.63,27.173,5.6814,3.4937,
Consumer Staples Distribution & Retail,GO,Grocery Outlet Holding Corp.,"1,001 M",10.20,($0.53),$12.21,($0.05),-.3662,1.9001,2.8105,
Personal Care Products,HLF,Herbalife Ltd.,"2,022 M",19.57,$2.12,($5.93),$3.11,-41.097,11.716,-4.4072,
Food Products,HRL,Hormel Foods Corporation,"13,505 M",24.55,$0.97,$14.36,$0.87,6.0021,4.476,1.6951,
Food Products,HSY,The Hershey Company,"44,594 M",219.91,$8.72,$22.89,$4.34,18.89,7.2471,2.9636,
Consumer Staples Distribution & Retail,IMKTA,"Ingles Markets, Incorporated","1,651 M",86.93,$6.48,$86.37,$5.01,5.9419,3.5325,1.5671,
Food Products,INGR,Ingredion Incorporated,"7,342 M",116.54,$7.96,$67.84,$11.18,18.101,8.4495,1.8477,
Personal Care Products,IPAR,"Interparfums, Inc.","3,243 M",101.15,$4.42,$27.16,$5.13,19.772,11.609,1.7966,
Food Products,JBS,JBS N.V.,"17,945 M",16.18,$0.40,$7.86,$0.93,24.154,6.7201,5.0688,
Food Products,JBSS,"John B. Sanfilippo & Son, Inc.",976 M,83.55,$2.81,$31.67,$5.99,20.226,10.489,1.669,
Food Products,JJSF,J&J Snack Foods Corp.,"1,617 M",85.07,$4.28,$48.06,$3.15,6.5962,4.0799,1.4386,
Beverages,KDP,Keurig Dr Pepper Inc.,"39,535 M",29.10,$1.18,$18.64,$1.16,6.2911,4.1486,2.1563,
Food Products,KHC,The Kraft Heinz Company,"28,398 M",23.99,$3.08,$35.19,($4.93),-12.837,3.4977,1.963,
Household Products,KMB,Kimberly-Clark Corporation,"36,073 M",108.68,$4.94,$4.53,$4.86,126.6,9.6116,11.383,
Beverages,KO,The Coca-Cola Company,"339,440 M",78.91,$1.23,$7.48,$3.04,43.323,9.1075,3.2583,
Beverages,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.","23,550 M",112.10,$1.73,$36.74,$6.14,16.566,7.6811,2.2302,
Consumer Staples Distribution & Retail,KR,The Kroger Co.,"42,800 M",67.63,$3.40,$10.97,$1.16,7.9967,5.1917,7.3047,
Food Products,KRYAY,Kerry Group plc,"13,895 M",86.535,$4.97,$42.43,$4.91,11.343,4.9608,1.9695,
Personal Care Products,KVUE,Kenvue Inc.,"35,752 M",18.66,$0.85,$5.55,$0.76,14.481,6.8576,2.5624,
Food Products,LMNR,Limoneira Company,256 M,14.15,($1.03),$8.91,($0.93),-8.3165,-4.8348,1.936,
Food Products,LND,BrasilAgro - Companhia Brasileira de Propriedades AgrÃ­colas,385 M,3.86,$0.23,$3.81,$0.00,-.0736,-1.3191,1.7975,
Food Products,LW,"Lamb Weston Holdings, Inc.","6,750 M",48.60,$4.64,$12.63,$2.78,23.164,6.9048,4.1786,
Food Products,LWAY,"Lifeway Foods, Inc.",333 M,21.89,($0.19),$5.43,$0.74,14.464,8.1671,1.3234,
Food Products,MAMA,"Mama's Creations, Inc.",608 M,14.95,$0.16,$1.22,$0.12,12.822,6.8501,1.6943,
Food Products,MDLZ,"Mondelez International, Inc.","75,167 M",58.64,$2.50,$20.16,$1.89,9.3322,3.2432,2.7667,
Beverages,MGPI,"MGP Ingredients, Inc.",544 M,25.55,$2.90,$40.16,($0.70),-1.7208,4.8673,1.6102,
Food Products,MICC,The Magnum Ice Cream Company N.V.,"10,053 M",16.42,$0.24,$1.20,$0.56,17.88,5.5826,11.981,
Food Products,MKC,"McCormick & Company, Incorporated","18,385 M",68.49,$2.76,$21.37,$2.93,14.243,5.2282,2.3011,
Beverages,MNST,Monster Beverage Corporation,"80,106 M",81.99,$2.00,$7.93,$1.76,25.538,16.877,1.2409,
Tobacco,MO,"Altria Group, Inc.","113,837 M",67.99,$5.45,($2.09),$4.12,-246.35,21.77,-9.9991,
Food Products,MZTI,The Marzetti Company,"4,489 M",163.70,$8.36,$37.66,$6.53,17.878,11.353,1.2866,
Personal Care Products,NAGE,"Niagen Bioscience, Inc.",394 M,4.94,$0.27,$0.88,$0.23,38.896,15.602,1.3886,
Personal Care Products,NATR,"Nature's Sunshine Products, Inc.",470 M,26.86,$1.71,$9.14,$0.80,9.2347,5.8736,1.6499,
Consumer Staples Distribution & Retail,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",579 M,25.14,$1.85,$9.55,$2.06,23.808,6.0104,3.0387,
Food Products,NOMD,Nomad Foods Limited,"1,905 M",12.99,$2.43,$20.45,$1.51,7.5986,4.0021,2.4716,
Personal Care Products,NUS,"Nu Skin Enterprises, Inc.",417 M,8.66,$0.93,$16.71,$3.18,21.996,3.9522,1.7452,
Household Products,ODC,Oil-Dri Corporation of America,919 M,63.06,$3.65,$18.28,$3.63,21.641,10.943,1.4285,
Personal Care Products,OLPX,"Olaplex Holdings, Inc.","1,095 M",1.64,$0.11,$1.33,($0.01),-.5598,.5537,1.7038,
Food Products,OTLY,Oatly Group AB,381 M,12.20,($1.28),$0.59,($5.03),-243.44,-4.7781,42.425,
Beverages,PEP,"PepsiCo, Inc.","224,937 M",164.59,$5.60,$14.93,$6.00,42.848,9.0535,5.2631,
