Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Energy Equipment & Services,ACDC,ProFrac Holding Corp.,"1,016 M",5.62,$0.12,$4.77,($2.08),-28.141,-2.9749,3.1814,
Energy Equipment & Services,AESI,Atlas Energy Solutions Inc.,"1,495 M",12.06,($0.15),$9.89,($0.11),-1.2035,1.5378,1.8257,
"Oil, Gas & Consumable Fuels",AM,Antero Midstream Corporation,"9,982 M",21.10,$1.61,$4.16,$0.86,20.217,7.8598,2.9838,
"Oil, Gas & Consumable Fuels",APA,APA Corporation,"10,314 M",29.08,$5.25,$16.77,$4.16,27.428,9.9258,2.9671,
"Oil, Gas & Consumable Fuels",AR,Antero Resources Corporation,"10,808 M",35.03,$1.80,$24.48,$2.03,9.035,4.339,1.7542,
"Oil, Gas & Consumable Fuels",AREC,American Resources Corporation,319 M,3.09,($0.19),($0.94),($0.26),45.272,-7.2671,-2.5083,
"Oil, Gas & Consumable Fuels",ARLP,"Alliance Resource Partners, L.P.","3,326 M",25.90,$2.96,$14.35,$2.42,17.085,8.3478,1.5488,
Energy Equipment & Services,AROC,"Archrock, Inc.","5,764 M",32.87,$0.11,$8.10,$1.50,19.556,7.9306,3.0988,
"Oil, Gas & Consumable Fuels",ASC,Ardmore Shipping Corporation,606 M,14.88,($1.04),$15.57,$0.88,6.4601,3.9489,1.2434,
Energy Equipment & Services,BKR,Baker Hughes Company,"61,824 M",62.56,$2.57,$19.09,$2.60,14.552,5.5382,2.1706,
"Oil, Gas & Consumable Fuels",BKV,BKV Corporation,"3,187 M",31.16,($3.25),$19.98,$0.53,2.7208,1.471,1.6129,
Energy Equipment & Services,BORR,Borr Drilling Limited,"1,838 M",5.99,($0.22),$3.99,$0.28,6.7941,6.4764,3.0892,
"Oil, Gas & Consumable Fuels",BP,BP p.l.c.,"99,930 M",39.01,$0.72,$3.44,$0.00,1.7003,3.4941,5.2501,
"Oil, Gas & Consumable Fuels",BSM,"Black Stone Minerals, L.P.","3,199 M",15.10,$0.92,$3.89,$1.16,23.898,14.148,1.5404,
"Oil, Gas & Consumable Fuels",BTE,Baytex Energy Corp.,"2,920 M",3.80,$0.39,$3.92,$0.20,5.2544,4.7458,1.8142,
