Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Capital Markets,AAMI,Acadian Asset Management Inc.,"1,889 M",52.89,($1.12),$1.70,$2.21,124.61,11.964,11.172,
Banks,AAVMY,ABN AMRO Bank N.V.,"27,849 M",33.83,($13.38),$38.59,$3.19,8.4739,.5642,15.281,
Capital Markets,AB,AllianceBernstein Holding L.P.,"3,769 M",40.84,$3.49,$13.42,$2.97,18.337,-3.9039,1.0013,
Banks,ABCB,Ameris Bancorp,"5,641 M",82.93,$6.09,$60.16,$6.00,10.531,1.5327,6.7507,
Mortgage Real Estate Investment Trusts (REITs),ABR,"Arbor Realty Trust, Inc.","1,462 M",7.47,$2.06,$12.08,$0.80,6.5952,1.4911,5.875,
Insurance,ABX,"Abacus Global Management, Inc.",852 M,8.72,($1.21),$4.45,$0.12,3.1757,4.9249,2.1145,
Insurance,ACGL,Arch Capital Group Ltd.,"35,304 M",98.34,$16.53,$65.39,$11.60,19.54,4.4373,3.3898,
Insurance,ACIC,American Coastal Insurance Corporation,543 M,11.13,$2.49,$6.79,$1.73,29.345,6.3685,3.6026,
Banks,ACNB,ACNB Corporation,535 M,51.58,$4.62,$40.49,$3.60,10.246,1.3178,7.6865,
Mortgage Real Estate Investment Trusts (REITs),ACRE,Ares Commercial Real Estate Corporation,283 M,5.12,$0.39,$9.27,($0.02),-.1718,-.0535,3.1755,
Financial Services,ACT,"Enact Holdings, Inc.","6,004 M",41.58,$4.67,$37.11,$4.52,13.027,8.468,1.2873,
Financial Services,ACTG,Acacia Research Corporation,397 M,4.12,$0.29,$5.57,$0.05,.9821,.617,1.4302,
Mortgage Real Estate Investment Trusts (REITs),ADAM,"Adamas Trust, Inc.",749 M,8.29,$0.62,$9.42,$0.19,3.5465,.4788,14.585,
Insurance,AEG,Aegon Ltd.,"11,105 M",7.34,($0.10),$6.89,$0.94,14.955,.2256,33.553,
Insurance,AFG,"American Financial Group, Inc.","10,876 M",130.37,$16.99,$56.71,$10.08,18.312,2.0982,7.1531,
Insurance,AFL,Aflac Incorporated,"58,487 M",112.76,$4.76,$56.85,$6.82,13.118,2.5386,3.9495,
Financial Services,AFRM,"Affirm Holdings, Inc.","17,262 M",51.82,$1.88,$10.68,$0.79,8.9169,1.2318,3.6531,
Financial Services,AGM,Federal Agricultural Mortgage Corporation,"1,898 M",174.04,$29.23,$107.83,$17.55,13.717,.675,28.311,
Mortgage Real Estate Investment Trusts (REITs),AGNC,AGNC Investment Corp.,"12,538 M",11.32,$0.62,$9.41,$1.47,15.076,1.6445,11.039,
Insurance,AGO,Assured Guaranty Ltd.,"3,999 M",86.73,$5.39,$121.19,$8.00,7.4138,2.3265,2.1387,
Insurance,AHL,Aspen Insurance Holdings Limited,"3,443 M",37.49,$3.92,$30.21,$6.60,13.972,1.833,5.9154,
Insurance,AIG,"American International Group, Inc.","42,678 M",79.54,$5.86,$76.44,$5.43,7.3991,1.7302,3.9197,
Insurance,AII,"American Integrity Insurance Group, Inc.",348 M,17.80,$84.77,$16.14,$30.44,26.82,3.0967,4.5387,
Insurance,AIZ,"Assurant, Inc.","11,164 M",222.92,$19.94,$117.39,$16.93,15.899,2.1006,6.1805,
Insurance,AJG,Arthur J. Gallagher & Co.,"56,116 M",218.37,$7.11,$90.75,$5.74,6.9061,2.2485,3.0301,
Insurance,ALL,The Allstate Corporation,"52,858 M",203.22,$32.22,$109.98,$38.06,39.518,6.49,4.186,
Consumer Finance,ALLY,Ally Financial Inc.,"12,926 M",41.90,($1.20),$42.70,$2.37,5.7957,.4393,14.878,
Financial Services,ALRS,Alerus Financial Corporation,640 M,25.19,$1.90,$22.24,$0.68,3.2893,.3324,9.2579,
Capital Markets,ALTI,"AlTi Global, Inc.",465 M,4.54,($0.57),$2.61,($2.26),-25.519,-5.5721,4.3161,
Banks,AMAL,Amalgamated Financial Corp.,"1,191 M",39.93,$4.08,$25.78,$3.32,13.881,1.1966,11.196,
Capital Markets,AMG,"Affiliated Managers Group, Inc.","9,064 M",322.23,$31.78,$116.91,$22.73,19.932,2.8099,2.8432,
Capital Markets,AMP,"Ameriprise Financial, Inc.","43,133 M",472.43,$59.90,$69.31,$36.43,59.589,2.2217,29.448,
Insurance,AMSF,"AMERISAFE, Inc.",710 M,37.53,$0.49,$14.48,$2.60,16.945,3.251,4.2397,
Banks,AMTB,Amerant Bancorp Inc.,913 M,22.48,$4.17,$23.15,$1.26,5.7309,.5327,10.414,
Insurance,AON,Aon plc,"69,483 M",324.30,$14.91,$43.60,$17.02,46.94,5.8872,5.4303,
