Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Life Sciences Tools & Services,A,"Agilent Technologies, Inc.","35,734 M",126.34,$4.06,$23.82,$4.57,20.619,8.4849,1.888,
Biotechnology,AAPG,Ascentage Pharma Group International,"2,208 M",23.75,($0.09),$0.27,($0.49),-159.65,-22.768,4.5738,
Pharmaceuticals,AARD,"Aardvark Therapeutics, Inc.",270 M,12.41,($2.98),$5.63,($3.21),-48.061,-30.806,1.0887,
Biotechnology,ABBV,AbbVie Inc.,"396,513 M",224.35,$11.13,($1.49),$2.36,1106.7,9.585,-50.681,
Life Sciences Tools & Services,ABCL,AbCellera Biologics Inc.,964 M,3.22,($0.51),$3.22,($0.58),-16.814,-10.426,1.4066,
Biotechnology,ABEO,Abeona Therapeutics Inc.,287 M,5.29,($1.60),$3.27,$1.29,75.897,-29.575,1.3496,
Biotechnology,ABSI,Absci Corporation,418 M,2.78,($0.64),$1.40,($0.90),-55.677,-30.624,1.1647,
Health Care Equipment & Supplies,ABT,Abbott Laboratories,"195,084 M",112.19,$3.97,$29.30,$3.72,13.158,6.7933,1.6521,
Biotechnology,ABUS,Arbutus Biopharma Corporation,815 M,4.24,($0.24),$0.40,($0.22),-45.881,-16.458,1.2624,
Biotechnology,ABVX,ABIVAX Soci̩t̩ Anonyme,"10,298 M",130.24,($3.06),$7.71,($5.24),-106.38,-31.671,1.2754,
Biotechnology,ACAD,ACADIA Pharmaceuticals Inc.,"4,116 M",24.33,$0.59,$5.42,$1.54,34.952,5.1138,1.4508,
Health Care Providers & Services,ACHC,"Acadia Healthcare Company, Inc.","1,525 M",16.86,($3.81),$34.50,$1.18,3.6931,4.5161,2.0552,
Biotechnology,ACIU,AC Immune SA,255 M,2.53,($0.60),$0.78,($0.91),-74.629,-21.965,2.7482,
