Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Passenger Airlines,AAL,American Airlines Group Inc.,"8,815 M",13.35,($1.03),($5.64),$0.17,-2.8816,1.648,-16.575,
Building Products,AAON,"AAON, Inc.","8,247 M",101.02,($3.14),$10.58,$1.21,12.079,6.4914,1.7774,
Commercial Services & Supplies,ABM,ABM Industries Incorporated,"2,671 M",45.59,$2.49,$29.67,$2.59,9.1044,3.8874,2.9511,
Construction & Engineering,ACA,"Arcosa, Inc.","6,108 M",124.54,$6.44,$52.65,$3.02,5.9214,4.2309,1.9548,
Commercial Services & Supplies,ACCO,ACCO Brands Corporation,373 M,4.14,$0.77,$7.15,$0.43,6.447,2.9516,3.507,
Aerospace & Defense,ACHR,Archer Aviation Inc.,"5,308 M",7.23,($0.87),$2.54,($1.12),-59.133,-30.335,1.1483,
Construction & Engineering,ACM,AECOM,"12,487 M",96.58,$4.67,$17.26,$4.52,28.155,5.6729,5.3496,
Commercial Services & Supplies,ACVA,ACV Auctions Inc.,"1,162 M",6.75,$0.27,$2.52,($0.43),-16.329,-2.8671,2.685,
Trading Companies & Distributors,ADDHY,Addtech AB (publ.),"9,670 M",17.91,$1.12,$2.87,$0.83,29.325,9.8844,2.58,
Professional Services,ADP,"Automatic Data Processing, Inc.","86,959 M",215.97,$10.32,$15.86,$10.41,73.843,4.7092,13.239,
Electrical Equipment,ADSE,ADS-TEC Energy PLC,644 M,10.71,($0.97),($0.31),($1.50),805.11,-15.992,-8.9259,
Machinery,AEBI,Aebi Schmidt Holding AG,"1,190 M",15.39,$0.30,$10.55,$0.21,8.7428,3.8935,2.5551,
Trading Companies & Distributors,AER,AerCap Holdings N.V.,"24,626 M",151.32,($3.96),$112.59,$21.30,21.125,4.0841,3.9115,
Machinery,AGCO,AGCO Corporation,"10,029 M",138.52,$9.95,$58.84,$9.75,16.691,3.7172,2.7911,
Construction & Engineering,AGX,"Argan, Inc.","5,996 M",432.18,$20.66,$30.25,$8.49,32.049,8.2221,2.5038,
