Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Communications Equipment,AAOI,"Applied Optoelectronics, Inc.","3,208 M",46.98,($6.00),$8.21,($2.88),-40.431,-4.4628,1.7502,
"Technology Hardware, Storage & Peripherals",AAPL,Apple Inc.,"3,825,611 M",260.58,$8.30,$6.00,$7.88,152.02,24.377,4.3009,
Software,ABTC,American Bitcoin Corp.,946 M,1.02,($0.02),$0.63,$0.18,58.267,36.788,2.0207,
Software,ACIW,"ACI Worldwide, Inc.","4,201 M",40.75,$2.75,$14.33,$2.47,18.576,7.0089,2.1369,
Semiconductors & Semiconductor Equipment,ACLS,"Axcelis Technologies, Inc.","2,475 M",80.62,$3.39,$33.68,$3.80,11.745,5.5031,1.3157,
Semiconductors & Semiconductor Equipment,ACMR,"ACM Research, Inc.","4,240 M",65.35,($0.19),$22.08,$1.72,9.9371,3.5703,1.9339,
IT Services,ACN,Accenture plc,"132,288 M",214.95,$18.47,$50.16,$12.09,25.016,11.125,2.096,
Software,ADBE,Adobe Inc.,"106,406 M",259.21,$23.12,$28.14,$16.70,55.426,18.221,2.5377,
Software,ADEA,Adeia Inc.,"2,029 M",18.53,$1.71,$3.78,$0.65,18.535,8.4673,2.5831,
Semiconductors & Semiconductor Equipment,ADI,"Analog Devices, Inc.","168,723 M",345.30,$8.65,$69.06,$4.56,6.5727,3.8914,1.4192,
Software,ADSK,"Autodesk, Inc.","48,569 M",229.10,$9.76,$13.65,$5.15,40.334,9.7452,3.8707,
Communications Equipment,ADTN,"ADTRAN Holdings, Inc.",792 M,9.88,$0.35,$1.77,($0.97),-11.81,-1.6797,8.5385,
Software,ADUR,Aduro Clean Technologies Inc.,377 M,11.23,($0.36),$0.39,($0.46),-130.2,-59.145,1.2723,
Semiconductors & Semiconductor Equipment,AEHR,"Aehr Test Systems, Inc.",927 M,30.27,($0.39),$4.27,($0.30),-6.9744,-5.0113,1.1373,
"Electronic Equipment, Instruments & Components",AEIS,"Advanced Energy Industries, Inc.","12,104 M",320.64,$3.35,$36.05,$3.87,11.637,5.0335,1.8681,
"Electronic Equipment, Instruments & Components",AEVA,"Aeva Technologies, Inc.",773 M,12.87,($2.15),$0.55,($2.82),-192.35,-63.347,2.7935,
Software,AGYS,"Agilysys, Inc.","2,209 M",78.60,$2.13,$11.17,$1.07,10.676,4.0149,1.5175,
Software,AI,"C3.ai, Inc.","1,506 M",10.70,($0.69),$5.51,($2.84),-46.766,-25.745,1.2454,
"Electronic Equipment, Instruments & Components",AIOT,"PowerFleet, Inc.",504 M,3.76,($0.06),$3.64,($0.23),-6.4264,1.6665,1.9782,
