Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Metals & Mining,AA,Alcoa Corporation,"15,458 M",59.69,$2.18,$23.65,$4.42,19.919,5.1443,2.6434,
Metals & Mining,AAUC,Allied Gold Corporation,"3,919 M",31.30,($0.31),$2.84,($0.34),2.5674,10.718,5.0825,
Metals & Mining,ABAT,American Battery Technology Company,487 M,3.70,($0.35),$0.91,($0.39),-43.516,-22.697,1.0367,
Metals & Mining,AEM,Agnico Eagle Mines Limited,"112,304 M",224.47,$8.76,$49.48,$8.86,19.578,13.216,1.3932,
Metals & Mining,AG,First Majestic Silver Corp.,"12,143 M",24.78,$0.35,$5.30,$0.16,4.2101,3.3399,1.6293,
Metals & Mining,AGI,Alamos Gold Inc.,"19,254 M",45.86,$0.54,$9.60,$1.28,14.274,8.2797,1.4815,
Metals & Mining,AIAGY,Aurubis AG,"8,823 M",101.04,($6.29),$143.09,$16.26,11.898,5.2842,1.8418,
Chemicals,ALB,Albemarle Corporation,"19,847 M",168.41,$4.47,$62.00,($5.76),-4.6564,.2997,2.2436,
Metals & Mining,ALM,Almonty Industries Inc.,"3,740 M",14.58,($0.26),$0.55,($0.24),-57.307,-3.8316,2.5279,
Containers & Packaging,AMBP,Ardagh Metal Packaging S.A.,"2,833 M",4.74,$0.44,($0.57),($0.01),-7.5829,2.5343,-15.953,
Containers & Packaging,AMCR,Amcor plc,"22,885 M",49.53,$1.99,$25.19,$1.47,7.7341,3.9089,3.1837,
Metals & Mining,AMR,"Alpha Metallurgical Resources, Inc.","2,272 M",176.73,$3.17,$123.24,($3.58),-2.8707,-.9525,1.4731,
Metals & Mining,AMRQF,Amaroq Ltd.,654 M,1.4114,($0.19),$0.43,($0.04),-10.642,-4.3546,1.2594,
Construction Materials,AMRZ,Amrize AG,"35,353 M",63.92,$2.57,$23.96,$2.14,10.204,4.9579,1.8296,
Chemicals,APD,"Air Products and Chemicals, Inc.","62,504 M",280.72,($12.62),$69.22,($1.47),-1.6666,-1.1049,2.676,
Metals & Mining,APEMY,Aperam S.A.,"3,723 M",51.50,$4.03,$51.89,$0.15,.3041,.9078,1.6197,
Metals & Mining,ARMN,Aris Mining Corporation,"3,919 M",19.16,$0.59,<empty>,<empty>,<empty>,<empty>,<empty>,
