Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Real Estate Management & Development,ARL,"American Realty Investors, Inc.",276 M,17.10,($1.12),$37.52,$0.36,.8605,-.3018,1.8087,
Real Estate Management & Development,BEKE,KE Holdings Inc.,"19,194 M",17.12,$0.23,$8.37,$0.42,5.0217,1.8055,1.7585,
Real Estate Management & Development,CBRE,"CBRE Group, Inc.","44,035 M",149.19,$4.00,$30.49,$3.85,13.572,2.927,3.4779,
Real Estate Management & Development,CIGI,Colliers International Group Inc.,"5,859 M",115.02,$4.95,$30.09,$2.02,8.4773,3.894,4.4241,
Real Estate Management & Development,COMP,"Compass, Inc.","7,554 M",10.43,$0.34,$1.38,($0.10),-9.3592,-4.0633,2.0089,
Real Estate Management & Development,CSGP,"CoStar Group, Inc.","20,797 M",49.07,($0.09),$20.34,$0.05,.2519,-.3976,1.2558,
Real Estate Management & Development,CWK,Cushman & Wakefield Limited,"3,041 M",13.13,$0.71,$8.45,$0.95,12.21,3.7314,3.9292,
Real Estate Management & Development,EXPI,"eXp World Holdings, Inc.","1,185 M",7.46,$0.70,$1.48,($0.12),-8.0925,-2.0795,1.9499,
Real Estate Management & Development,FOR,Forestar Group Inc.,"1,509 M",29.65,$1.83,$35.10,$3.27,9.8085,4.2486,1.7786,
Real Estate Management & Development,FPH,"Five Point Holdings, LLC",391 M,5.50,$3.00,$11.86,$0.48,8.0344,-.1459,3.853,
Real Estate Management & Development,FRPH,"FRP Holdings, Inc.",458 M,23.95,$1.52,$22.38,$0.24,.9706,.0724,1.7097,
Real Estate Management & Development,FSV,FirstService Corporation,"7,134 M",156.06,$6.99,$30.10,$3.17,10.902,5.163,3.1132,
Real Estate Management & Development,HHH,Howard Hughes Holdings Inc.,"4,885 M",82.25,$7.87,$63.86,$5.22,8.6105,3.7937,2.839,
Real Estate Management & Development,IRS,IRSA Inversiones y Representaciones Sociedad AnÃ³nima,"1,195 M",15.44,$0.22,$1.68,$0.38,31.178,3.8675,2.2533,
Real Estate Management & Development,JLL,Jones Lang LaSalle Incorporated,"14,804 M",313.69,$19.23,$152.04,$13.05,8.991,3.6993,2.3941,
Real Estate Management & Development,JOE,The St. Joe Company,"4,096 M",70.93,$2.93,$13.16,$1.80,13.964,5.379,2.0164,
Real Estate Management & Development,KW,"Kennedy-Wilson Holdings, Inc.","1,499 M",10.87,($0.23),$5.35,($0.27),.5913,.86,9.0786,
Real Estate Management & Development,LB,LandBridge Company LLC,"1,862 M",66.90,$4.90,$10.73,$0.74,11.323,7.2437,3.9631,
Real Estate Management & Development,MGAWY,<empty>,"1,223 M",7.535,$0.01,$0.14,$0.01,8.3365,4.0641,1.8558,
Real Estate Management & Development,MLP,"Maui Land & Pineapple Company, Inc.",333 M,16.86,($0.22),$1.71,($0.58),-33.394,-16.777,1.3593,
Real Estate Management & Development,MMI,"Marcus & Millichap, Inc.",986 M,25.65,$1.80,$15.70,($0.05),-.3094,-1.0099,1.3715,
Real Estate Management & Development,NMRK,"Newmark Group, Inc.","2,758 M",15.26,($0.40),$7.65,$0.59,8.7119,2.0914,3.9917,
Real Estate Management & Development,OPEN,Opendoor Technologies Inc.,"4,435 M",4.65,$1.22,$1.05,($0.44),-39.33,-4.0091,3.3292,
Real Estate Management & Development,REAX,The Real Brokerage Inc.,563 M,2.66,$0.31,$0.25,($0.05),-25.259,-5.2404,2.7072,
Real Estate Management & Development,RMR,The RMR Group Inc.,282 M,16.52,$3.49,$13.64,$1.37,12.29,6.7172,2.9528,
Real Estate Management & Development,SEG,Seaport Entertainment Group Inc.,262 M,20.60,($2.16),$38.15,($8.38),-25.569,-10.583,1.4389,
Real Estate Management & Development,TCI,"Transcontinental Realty Investors, Inc.",396 M,45.79,($2.07),$97.04,$0.65,.7349,-.2661,1.3531,
Real Estate Management & Development,TRC,Tejon Ranch Co.,455 M,16.91,($0.15),$17.60,$0.11,.6117,-.8441,1.3304,
Real Estate Management & Development,VTMX,"CorporaciÃ³n Inmobiliaria Vesta, S.A.B. de C.V.","2,849 M",33.67,$0.23,$3.19,$0.07,.1828,3.0306,1.7883,
Real Estate Management & Development,Z,"Zillow Group, Inc.","11,025 M",45.55,$0.42,$20.31,$0.09,.4726,-.3474,1.164,
Real Estate Management & Development,ZG,"Zillow Group, Inc.","11,023 M",45.54,$0.42,$20.31,$0.09,.4726,-.3474,1.164,
