Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Multi-Utilities,AEE,Ameren Corporation,"30,349 M",109.80,($3.04),$48.48,$5.35,11.337,2.7209,3.6173,
Electric Utilities,AEP,"American Electric Power Company, Inc.","69,457 M",128.42,($9.53),$57.57,$6.66,12.486,3.1735,3.6759,
Independent Power & Renewable Electricity Producers,AES,The AES Corporation,"11,650 M",16.36,($3.11),$5.43,$1.52,5.1064,2.2691,13.139,
Multi-Utilities,AQN,Algonquin Power & Utilities Corp.,"5,170 M",6.73,($0.48),$5.81,$0.03,.1466,2.0152,3.0919,
Water Utilities,ARTNA,Artesian Resources Corporation,342 M,33.19,($1.84),$24.13,$2.18,9.2504,2.7212,3.3511,
Gas Utilities,ATO,Atmos Energy Corporation,"29,609 M",178.97,($10.14),$86.34,$7.69,9.2365,3.6475,2.0863,
Multi-Utilities,AVA,Avista Corporation,"3,427 M",42.11,($0.29),$32.51,$2.35,7.307,2.6971,3.0858,
Water Utilities,AWK,"American Water Works Company, Inc.","25,638 M",131.36,($4.81),$55.90,$5.69,10.457,3.5524,3.1858,
Water Utilities,AWR,American States Water Company,"2,845 M",73.48,$0.91,$26.07,$3.38,13.78,4.9229,2.6308,
Electric Utilities,AXIA,AXIA Energia SA,"26,352 M",11.72,$0.91,$8.85,($0.41),-5.2135,-.7361,2.4385,
Independent Power & Renewable Electricity Producers,BEP,Brookfield Renewable Partners L.P.,"9,629 M",31.47,($6.94),$11.03,($0.55),1.9935,.5529,10.267,
Independent Power & Renewable Electricity Producers,BEPC,Brookfield Renewable Corporation,"7,626 M",42.46,($1.87),($1.20),($6.91),-21.959,1.221,-113.96,
Multi-Utilities,BIP,Brookfield Infrastructure Partners L.P.,"17,665 M",38.10,($15.22),$10.61,$0.98,7.7439,3.1139,26.212,
Gas Utilities,BIPC,Brookfield Infrastructure Corporation,"5,605 M",47.07,$1.81,($10.91),($2.02),33.12,5.9176,-18.495,
Multi-Utilities,BKH,Black Hills Corporation,"5,516 M",73.09,($2.01),$50.66,$3.98,8.0043,3.1871,2.8428,
Water Utilities,CDZI,Cadiz Inc.,455 M,5.48,($0.38),$0.34,($0.49),-136.36,-12.903,4.616,
Electric Utilities,CEG,Constellation Energy Corporation,"105,666 M",291.66,($0.95),$45.95,$8.73,19.839,3.8798,3.9137,
Independent Power & Renewable Electricity Producers,CEPU,Central Puerto S.A.,"2,468 M",16.43,$0.01,$1.14,$0.13,13.149,4.521,1.5418,
Electric Utilities,CIG,Companhia EnergÃ©tica de Minas Gerais - CEMIG,"6,437 M",2.25,($0.12),$1.89,$0.26,14.16,5.6129,2.2539,
Multi-Utilities,CMS,CMS Energy Corporation,"23,242 M",75.85,($5.32),$29.11,$3.53,10.856,3.1521,4.4777,
Multi-Utilities,CNP,"CenterPoint Energy, Inc.","27,838 M",42.64,($4.84),$16.90,$1.58,9.6059,2.901,4.0824,
Gas Utilities,CPK,Chesapeake Utilities Corporation,"3,159 M",133.59,($8.55),$64.50,$5.62,9.1315,4.2811,2.5426,
Water Utilities,CWCO,Consolidated Water Co. Ltd.,589 M,36.98,$1.64,$13.83,$1.08,8.1658,4.1973,1.1674,
Independent Power & Renewable Electricity Producers,CWEN,"Clearway Energy, Inc.","4,678 M",39.16,$3.73,$17.38,$2.34,-1.4008,.7092,7.8409,
Water Utilities,CWT,California Water Service Group,"2,753 M",46.20,($3.03),$28.54,$2.29,8.147,2.4855,3.2458,
Multi-Utilities,D,"Dominion Energy, Inc.","55,897 M",65.46,($9.13),$31.26,$3.07,9.2039,2.9787,4.1797,
Multi-Utilities,DTE,DTE Energy Company,"30,120 M",145.03,($4.93),$59.22,$7.03,12.177,2.943,4.3945,
Electric Utilities,DUK,Duke Energy Corporation,"98,273 M",126.37,$15.87,$65.38,$6.32,9.7242,2.806,3.8478,
Multi-Utilities,ED,"Consolidated Edison, Inc.","40,396 M",111.92,($0.19),$66.95,$5.74,8.8394,3.2636,2.9727,
Electric Utilities,EDN,Empresa Distribuidora y Comercializadora Norte Sociedad AnÃ³nima,"1,247 M",28.47,($0.08),$1.67,$0.08,6.3654,1.588,2.5145,
Electric Utilities,EIX,Edison International,"27,959 M",72.66,($2.10),$40.31,$7.64,15.765,3.207,5.8342,
Electric Utilities,ELPC,Companhia Paranaense de Energia - COPEL,"8,168 M",11.00,($0.24),$1.64,$0.14,8.4706,4.4793,2.3878,
Electric Utilities,EMA,Emera Incorporated,"15,446 M",51.19,($3.11),$28.80,$2.66,9.0719,3.0667,3.6357,
Electric Utilities,ENIC,Enel Chile S.A.,"5,810 M",4.20,$0.02,$0.07,$0.00,1.6895,1.4592,2.4642,
Electric Utilities,ES,Eversource Energy,"27,640 M",73.67,($1.42),$42.73,$4.56,10.835,3.1725,3.8496,
Electric Utilities,ETR,Entergy Corporation,"46,740 M",103.33,($5.03),$37.31,$4.07,11.188,3.1344,4.1922,
Electric Utilities,EVRG,"Evergy, Inc.","18,309 M",79.53,($1.47),$44.70,$3.66,8.4537,2.8664,3.2501,
Electric Utilities,EXC,Exelon Corporation,"48,444 M",47.36,($2.25),$28.16,$2.73,9.9355,2.8375,4.0479,
Electric Utilities,FE,FirstEnergy Corp.,"28,635 M",49.57,($2.12),$22.15,$2.31,11.192,3.3148,4.3666,
Electric Utilities,FTS,Fortis Inc.,"28,663 M",56.49,($3.27),$31.86,$2.48,7.5828,3.0104,3.3727,
Electric Utilities,GNE,Genie Energy Ltd.,377 M,14.22,$1.32,$7.49,$0.28,3.5845,5.6591,1.9824,
Water Utilities,GWRS,"Global Water Resources, Inc.",253 M,8.81,($1.52),$3.12,$0.17,6.3019,1.1477,5.3629,
Electric Utilities,HE,"Hawaiian Electric Industries, Inc.","2,724 M",15.78,$0.45,$9.06,$0.65,7.021,1.0615,5.6359,
Independent Power & Renewable Electricity Producers,HNRG,Hallador Energy Company,886 M,18.84,$1.26,$3.40,($4.06),-74.704,6.6359,2.8009,
Electric Utilities,HRNNF,Hydro One Limited,"24,880 M",41.4825,($0.69),$15.36,$1.62,10.827,3.6639,3.1365,
Water Utilities,HTO,H2O America,"1,972 M",55.08,($6.66),$42.55,$3.17,7.6485,2.5776,3.2886,
Electric Utilities,IDA,"IDACORP, Inc.","7,474 M",138.30,($7.66),$64.41,$5.84,9.4113,2.1838,2.8945,
Independent Power & Renewable Electricity Producers,KEN,Kenon Holdings Ltd.,"4,191 M",80.37,$2.83,$26.95,$8.96,22.208,.618,3.1316,
Electric Utilities,KEP,Korea Electric Power Corporation,"27,938 M",21.76,$4.94,$51.66,$9.14,19.124,3.5146,5.4366,
Electric Utilities,LNT,Alliant Energy Corporation,"17,996 M",70.01,($5.10),$28.43,$3.18,11.461,2.7209,3.3703,
Gas Utilities,MDU,"MDU Resources Group, Inc.","4,375 M",20.25,($1.56),$13.33,$0.93,7.0709,2.2764,2.6388,
Electric Utilities,MGEE,"MGE Energy, Inc.","2,926 M",80.08,($0.87),$35.51,$3.69,10.799,3.8646,2.3047,
Water Utilities,MSEX,Middlesex Water Company,999 M,54.47,($2.00),$26.32,$2.39,9.2745,2.8419,2.781,
Electric Utilities,NEE,"NextEra Energy, Inc.","190,934 M",91.64,($5.87),$26.22,$3.30,8.3744,2.5712,3.8954,
Gas Utilities,NFG,National Fuel Gas Company,"8,351 M",87.88,$2.26,$37.76,$7.17,20.665,7.3891,2.5658,
Multi-Utilities,NGG,National Grid plc,"89,752 M",90.27,($0.54),$10.15,$0.78,7.8676,3.2184,2.79,
Multi-Utilities,NI,NiSource Inc.,"21,684 M",45.82,($1.68),$19.75,$1.95,9.0701,3.3684,3.7945,
Gas Utilities,NJR,New Jersey Resources Corporation,"5,332 M",52.87,($1.85),$24.54,$3.23,13.659,4.0989,3.1979,
Electric Utilities,NRG,"NRG Energy, Inc.","37,783 M",175.01,$8.59,$6.87,$6.78,64.187,6.8088,18.16,
Multi-Utilities,NWE,"NorthWestern Energy Group, Inc.","4,211 M",68.54,($2.12),$46.98,$2.94,6.306,2.5369,2.9316,
Gas Utilities,NWN,Northwest Natural Holding Company,"2,046 M",49.30,($4.60),$34.55,$2.47,7.2032,2.8874,4.0818,
Electric Utilities,OGE,OGE Energy Corp.,"9,633 M",46.73,($0.83),$23.81,$2.49,10.694,3.7319,2.9721,
Gas Utilities,OGS,"ONE Gas, Inc.","5,133 M",85.55,($2.03),$53.04,$4.27,8.505,3.3576,2.6723,
Electric Utilities,OKLO,Oklo Inc.,"10,569 M",67.64,($0.52),$7.72,($0.58),-10.425,-7.92,1.0337,
Independent Power & Renewable Electricity Producers,ORA,"Ormat Technologies, Inc.","7,297 M",120.05,($3.53),$41.29,$2.18,5.2751,1.8077,2.4276,
Electric Utilities,OTTR,Otter Tail Corporation,"3,629 M",86.60,$2.34,$44.43,$6.55,15.63,5.728,2.1293,
Electric Utilities,PAM,Pampa EnergÃ­a S.A.,"4,491 M",83.57,($0.15),$2.52,$0.24,9.7148,2.3648,1.8168,
Electric Utilities,PCG,PG&E Corporation,"39,783 M",18.10,($1.44),$14.09,$1.18,8.2066,2.4271,4.5739,
Water Utilities,PCYO,Pure Cycle Corporation,264 M,10.95,($0.05),$6.12,$0.57,9.7753,4.0648,1.1396,
Multi-Utilities,PEG,Public Service Enterprise Group Incorporated,"42,768 M",85.68,($0.35),$34.09,$4.16,12.579,3.3639,3.3461,
